file;;row;;col;;error;;analyzer
pkg/highlight/highlighter.go;;168;;2;;`if !statesOnly` has complex nested blocks (complexity: 7);;(nestif)
pkg/highlight/highlighter.go;;196;;2;;`if loc != nil` has complex nested blocks (complexity: 5);;(nestif)
internal/config/settings.go;;60;;2;;`if e == nil` has complex nested blocks (complexity: 14);;(nestif)
internal/config/settings.go;;125;;3;;`if strings.HasPrefix(reflect.TypeOf(v).String(), "map")` has complex nested blocks (complexity: 14);;(nestif)
internal/config/rtfiles.go;;220;;2;;`if err == nil` has complex nested blocks (complexity: 12);;(nestif)
internal/config/plugin_installer.go;;545;;3;;`if sel.pack.Name != CorePluginName` has complex nested blocks (complexity: 7);;(nestif)
internal/config/rtfiles.go;;190;;3;;`if err == nil && stat.IsDir()` has complex nested blocks (complexity: 7);;(nestif)
internal/config/plugin_installer.go;;222;;2;;`if allPluginPackages == nil` has complex nested blocks (complexity: 6);;(nestif)
internal/config/plugin_installer.go;;440;;3;;`if f.FileInfo().IsDir()` has complex nested blocks (complexity: 6);;(nestif)
internal/config/plugin_installer.go;;516;;2;;`if currentRequirement != nil` has complex nested blocks (complexity: 6);;(nestif)
internal/config/plugin_installer.go;;646;;4;;`if pp == nil` has complex nested blocks (complexity: 6);;(nestif)
internal/config/settings.go;;169;;2;;`if e == nil` has complex nested blocks (complexity: 6);;(nestif)
internal/buffer/buffer.go;;1011;;2;;`if startChar == braceType[0] || leftChar == braceType[0]` has complex nested blocks (complexity: 23);;(nestif)
internal/buffer/backup.go;;123;;2;;`if b.Settings["backup"].(bool) && !b.Settings["permbackup"].(bool) && len(b.Path) > 0 && b.Type == BTDefault` has complex nested blocks (complexity: 8);;(nestif)
internal/buffer/eventhandler.go;;80;;4;;`if t.EventType == TextEventInsert` has complex nested blocks (complexity: 8);;(nestif)
internal/buffer/buffer.go;;748;;2;;`if syntaxFile != "" && !foundDef` has complex nested blocks (complexity: 7);;(nestif)
internal/buffer/save.go;;149;;2;;`if dirname != "."` has complex nested blocks (complexity: 7);;(nestif)
internal/buffer/buffer.go;;318;;2;;`if !found` has complex nested blocks (complexity: 6);;(nestif)
internal/buffer/buffer.go;;775;;2;;`if b.SyntaxDef != nil && highlight.HasIncludes(b.SyntaxDef)` has complex nested blocks (complexity: 6);;(nestif)
internal/buffer/serialize.go;;54;;2;;`if err == nil` has complex nested blocks (complexity: 5);;(nestif)
internal/info/infobuffer.go;;142;;2;;`if !hadYN` has complex nested blocks (complexity: 7);;(nestif)
internal/info/history.go;;17;;2;;`if config.GetGlobalOption("savehistory").(bool)` has complex nested blocks (complexity: 6);;(nestif)
internal/display/bufwindow.go;;492;;4;;`if nColsBeforeStart <= 0 && vloc.Y >= 0` has complex nested blocks (complexity: 36);;(nestif)
internal/display/bufwindow.go;;394;;2;;`if b.Settings["matchbrace"].(bool)` has complex nested blocks (complexity: 8);;(nestif)
internal/display/infowindow.go;;256;;2;;`if i.HasSuggestions && len(i.Suggestions) > 1` has complex nested blocks (complexity: 8);;(nestif)
internal/display/uiwindow.go;;61;;4;;`if c.Kind == views.STVert` has complex nested blocks (complexity: 7);;(nestif)
internal/display/statusline.go;;111;;2;;`if b.HasSuggestions && len(b.Suggestions) > 1` has complex nested blocks (complexity: 5);;(nestif)
